Year,Type,Country,Value,Unit,ISO-2,ISO-3,latitude,longitude
2017,Departure,Norway,26836985,Passengers,NO, NOR,60.472024,8.468946
2017,Departure,United Kingdom,141782954,Passengers,GB, GBR,55.378051,-3.435973
2017,Departure,Switzerland,27151850,Passengers,CH, CHE,46.818188,8.227512
2018,Departure,Germany,122565940,Passengers,DE, DEU,51.165691,10.451526
2018,Departure,Austria,15924719,Passengers,AT, AUT,47.516231,14.550072
2018,Departure,Belgium,17235718,Passengers,BE, BEL,50.503887,4.469936
2018,Departure,Bulgaria,6255370,Passengers,BG, BGR,42.733883,25.485830
2018,Departure,Cyprus,5455568,Passengers,CY, CYP,35.126413,33.429859
2018,Departure,Croatia,5140862,Passengers,HR, HRV,45.100000,15.200000
2018,Departure,Denmark,18098414,Passengers,DK, DNK,56.263920,9.501785
2018,Departure,Slovakia,1409081,Passengers,SK, SVK,48.669026,19.699024
2018,Departure,Slovenia,906041,Passengers,SI, SVN,46.151241,14.995463
2018,Departure,Spain,130244218,Passengers,ES, ESP,40.463667,-3.749220
2018,Departure,Estonia,1517480,Passengers,EE, EST,58.595272,25.013607
2018,Departure,Finland,12601937,Passengers,FI, FIN,61.924110,25.748151
2018,Departure,France,95960254,Passengers,FR, FRA,46.227638,2.213749
2018,Departure,Greece,31474358,Passengers,GR, GRC,39.074208,21.824312
2018,Departure,Hungary,7637268,Passengers,HU, HUN,47.162494,19.503304
2018,Departure,Ireland,18239197,Passengers,IE, IRL,53.412910,-8.243890
2018,Departure,Italy,92504535,Passengers,IT, ITA,41.871940,12.567380
2018,Departure,Latvia,3525332,Passengers,LV, LVA,56.879635,24.603189
2018,Departure,Lithuania,3121142,Passengers,LT, LTU,55.169438,23.881275
2018,Departure,Luxembourg,2004671,Passengers,LU, LUX,49.815273,6.129583
2018,Departure,Malta,3402274,Passengers,MT, MLT,35.937496,14.375416
2018,Departure,Netherlands,39964307,Passengers,NL, NLD,52.132633,5.291266
2018,Departure,Poland,22844762,Passengers,PL, POL,51.919438,19.145136
2018,Departure,Portugal,27926876,Passengers,PT, PRT,39.399872,-8.224454
2018,Departure,Czech Republic,8909588,Passengers,CZ, CZE,49.817492,15.472962
2018,Departure,Romania,10580244,Passengers,RO, ROU,45.943161,24.966760
2018,Departure,Sweden,23073693,Passengers,SE, SWE,60.128161,18.643501
